registration,price,mileage,model_year,version,color,fuel_type,drive_wheels,electric_type,transmission,engine_power,engine_name,body_type,location,url,scrape_date
ASU024,124900,243070,2015,D4 Ocean Race BE 181hk P-värm PDC Rattvärm,Vit,Diesel,Framhjulsdrift,,Manuell,181 hk,,,TROLLHÄTTAN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/asu024/,2026-01-13
LHB00R,549000,21740,2023,Recharge T6 Ultimate Bright,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,HANINGE,https://www.bilia.se/bilar/sok-bil/volvo/xc60/lhb00r/,2026-01-13
DZP03F,689900,21610,2025,,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/dzp03f/,2026-01-13
BTK810,189500,176580,2015,,Silver,Diesel,Fyrhjulsdrift,,Automat,181 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/btk810/,2026-01-13
RKS090,264000,100060,2017,D4 AWD Classic R-Design 2-brukare / Panorama / Backkamera,Vit,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,BRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rks090/,2026-01-13
DCG77A,389900,66700,2023,B5 AWD Bensin Core,Blå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/dcg77a/,2026-01-13
THF31M,449900,122090,2023,,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/thf31m/,2026-01-13
WBT09X,619900,1180,2025,T6 Plus Dark Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,NACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/wbt09x/,2026-01-13
AHC769,159900,206350,2014,D4 AWD Summum BE VOC / Drag / Keyless / Skinn,Svart,Diesel,Fyrhjulsdrift,,Automat,181 hk,,,BRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ahc769/,2026-01-13
HGE68A,319000,104270,2020,T5 AWD Momentum Advanced SE II,Blå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,TRELLEBORG,https://www.bilia.se/bilar/sok-bil/volvo/xc60/hge68a/,2026-01-13
BYR28B,549900,38850,2023,"Recharge T6 Ultimate Dark, Taklucka, on call",Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/byr28b/,2026-01-13
GZL46C,389000,108970,2023,Recharge T6 Core Edition / AWD / GOOGLE / PANORAMA,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/gzl46c/,2026-01-13
EMZ76J,379000,83550,2023,B5 AWD Bensin Core,Grå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/emz76j/,2026-01-13
JAB51G,539500,46180,2023,Recharge T8 Ultimate Bright,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/jab51g/,2026-01-13
SRP40F,469900,47670,2023,Recharge T6 Core Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/srp40f/,2026-01-13
NUG283,239900,124730,2016,D5 AWD Summum Business Edition PRO SE SPEC!,Svart,Diesel,Fyrhjulsdrift,,Automat,220 hk,,,SÖDERTÄLJE,https://www.bilia.se/bilar/sok-bil/volvo/xc60/nug283/,2026-01-13
PZZ54M,689000,8950,2026,T6 Plus Dark Nordic Edition,Röd,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/pzz54m/,2026-01-13
SJM16G,269500,165950,2019,D4 AWD Momentum SE,Svart,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,LUND,https://www.bilia.se/bilar/sok-bil/volvo/xc60/sjm16g/,2026-01-13
URW00H,429500,67420,2023,Recharge T6 Core Edition,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/urw00h/,2026-01-13
RAA83A,509000,52620,2023,Recharge T6 Plus Dark Läder/Backkamera/Panorama/Värmare,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/raa83a/,2026-01-13
MBN49G,689000,28570,2025,T8 Ultra Black Edition,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/mbn49g/,2026-01-13
EOJ65M,349900,123000,2020,T8 TE Inscription,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,392 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/eoj65m/,2026-01-13
DJB09Z,629900,4410,2026,T6 Plus Black Nordic Edition,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SÄVEDALEN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/djb09z/,2026-01-13
ZDT235,259900,205550,2018,"D4 AWD Inscription IB 19"" | Drag |",Grå,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,VÄSTERÅS,https://www.bilia.se/bilar/sok-bil/volvo/xc60/zdt235/,2026-01-13
ATK843,379900,156460,2023,Recharge T6 Plus Dark,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/atk843/,2026-01-13
SHY41A,626900,0,2026,Ny T6 Plus Dark Nordic Edition,Silver,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/shy41a/,2026-01-13
OWD647,124900,256850,2016,D4 AWD Ocean Race BE PRO 190hk Panorama Navi P-värm,Svart,Diesel,Fyrhjulsdrift,,Manuell,190 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/owd647/,2026-01-13
JAW20F,519500,50490,2024,Recharge T6 II Plus Bright,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/jaw20f/,2026-01-13
KFP80U,519900,66930,2023,Recharge T6 Ultimate Dark,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGSBACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/kfp80u/,2026-01-13
XBJ349,239500,123600,2017,D4 AWD Classic Summum,Röd,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/xbj349/,2026-01-13
UJA03T,509900,38280,2023,"Recharge T6 Plus Bright, Taklucka, on call",Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/uja03t/,2026-01-13
SEU642,229900,140200,2017,D4 AWD Classic Momentum,Vit,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,VÄSTERÅS,https://www.bilia.se/bilar/sok-bil/volvo/xc60/seu642/,2026-01-13
OOD171,169900,185900,2014,D4 AWD aut Summum BE PRO 163hk Panorama Navi Drag BLIS,Svart,Diesel,Fyrhjulsdrift,,Automat,163 hk,,,VÄRNHEM,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ood171/,2026-01-13
JWA366,469900,60890,2024,Recharge T6 Core Edition,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/jwa366/,2026-01-13
JBN75Z,629900,0,2026,Ny T6 Plus Dark Nordic Edition,Silver,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SÄVEDALEN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/jbn75z/,2026-01-13
JRA08F,479900,77400,2023,Recharge T6 AWD Inscription Pano 360°K Drag H&K,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KISTA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/jra08f/,2026-01-13
YDZ30M,509000,44500,2022,Recharge T8 R-Design,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,392 hk,,,SEGELTORP,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ydz30m/,2026-01-13
DCA44D,399900,97350,2021,"Recharge T6 Inscription, Teknikpaket, Ljuspaket, Dynamisk LED",Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,340 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/dca44d/,2026-01-13
YRR787,259900,165410,2019,T5 AWD Mom Adv SE Skinn Kamera Teknikpkt VOC,Svart,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,KISTA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/yrr787/,2026-01-13
RCD71N,626900,0,2026,"Ny T6 Plus Dark Nordic Edition, Lagerbil snabb leverans!",Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rcd71n/,2026-01-13
CBW35F,379500,123470,2020,B5 AWD Bensin R-Design,Blå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/cbw35f/,2026-01-13
KGN19G,429900,69110,2021,Inscription T,Silver,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,392 hk,,,KUNGSBACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/kgn19g/,2026-01-13
TUU04Y,399900,136090,2023,Recharge T6 Plus Bright,Silver,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/tuu04y/,2026-01-13
LOH11A,499900,43330,2023,,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/loh11a/,2026-01-13
TFM51U,379500,61500,2023,B5 AWD Bensin Core,Grå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/tfm51u/,2026-01-13
XMH50K,289000,130840,2020,T5 AWD Momentum Advanced SE II / Xvision ljusramp / kamera,Silver,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/xmh50k/,2026-01-13
FBF26A,429900,53670,2024,B5 AWD Bensin Core,Grå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/fbf26a/,2026-01-13
OOA229,239000,102980,2015,D4 AWD Summum Drag Skinn Blis Navi Värmare Adapt,Vit,Diesel,Fyrhjulsdrift,,Automat,181 hk,,,KUNGENS KURVA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ooa229/,2026-01-13
DKC31A,344500,168600,2023,Recharge T6 Core Edition,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KÖPING,https://www.bilia.se/bilar/sok-bil/volvo/xc60/dkc31a/,2026-01-13
KMW01Z,626900,0,2026,Ny T6 Plus Dark Nordic Edition,Silver,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,NACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/kmw01z/,2026-01-13
ZKJ43P,629900,0,2026,Ny T6 Plus Bright Nordic Edition,Röd,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/zkj43p/,2026-01-13
GWS46B,379500,132220,2023,Recharge T6 Core Edition,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/gws46b/,2026-01-13
EWP03N,632900,0,2026,"Ny T6 Plus Dark Nordic Edition, Lagerbil snabb leverans!",Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ewp03n/,2026-01-13
RAD78M,459500,88720,2023,Recharge T6 Plus Bright,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,LUND,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rad78m/,2026-01-13
PDS367,223000,139130,2017,D4 AWD Classic Summum/Panorama/Navi/Skinn/Värmare,Silver,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/pds367/,2026-01-13
DDG431,189900,141300,2014,D4 AWD Momentum BE PRO II Drag Pano Nav Värmare,Svart,Diesel,Fyrhjulsdrift,,Automat,181 hk,,,KISTA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ddg431/,2026-01-13
TEB540,199500,152050,2017,D4 Classic Momentum,Brun,Diesel,Framhjulsdrift,,Manuell,190 hk,,,LUND,https://www.bilia.se/bilar/sok-bil/volvo/xc60/teb540/,2026-01-13
GRA058,159900,177300,2016,,Brun,Diesel,Framhjulsdrift,,Manuell,190 hk,,,KISTA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/gra058/,2026-01-13
RFU76N,679900,550,2025,,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rfu76n/,2026-01-13
OUR02M,674000,30550,2025,T8 Ultra Dark /Navi/ 360 Kamera/ Drag/ AWD,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/our02m/,2026-01-13
ELJ967,215000,147670,2016,D5 AWD Ocean Race Business E PRO *SE SPEC*,Blå,Diesel,Fyrhjulsdrift,,Automat,220 hk,,,SEGELTORP,https://www.bilia.se/bilar/sok-bil/volvo/xc60/elj967/,2026-01-13
ZUW01J,679500,710,2025,T8 Ultra Bright,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/zuw01j/,2026-01-13
BUY73G,354000,109690,2021,Recharge T6 Inscription Expression /AWD/ Blis/ Navi,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,340 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/buy73g/,2026-01-13
LFU76A,679000,30000,2025,T8 Ultra Bright,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,SEGELTORP,https://www.bilia.se/bilar/sok-bil/volvo/xc60/lfu76a/,2026-01-13
NZU96W,579900,64910,2024,Recharge T6 AWD Ultimate Dark 350hk Pano B&W 360° HUD Drag,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,VÄRNHEM,https://www.bilia.se/bilar/sok-bil/volvo/xc60/nzu96w/,2026-01-13
FJC356,329000,96070,2021,B4 Diesel Momentum Advanced SE,Vit,Diesel,Framhjulsdrift,,Automat,197 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/fjc356/,2026-01-13
WCK54E,618900,0,2026,Ny T6 Plus Dark Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/wck54e/,2026-01-13
ZBC93X,339900,152950,2020,B5 AWD Diesel Inscription,Brun,Diesel,Fyrhjulsdrift,,Automat,235 hk,,,KUNGSBACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/zbc93x/,2026-01-13
XBO951,299900,139380,2018,,Vit,Bensin,Framhjulsdrift,,Automat,250 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/xbo951/,2026-01-13
YNA346,219900,169870,2017,D4 AWD Classic R-Design 190hk Pano Navi BLIS Bkam,Vit,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,TROLLHÄTTAN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/yna346/,2026-01-13
XCS48J,489900,98350,2023,Recharge T6 Ultimate Dark Bowers&Wilkins,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SÖDERTÄLJE,https://www.bilia.se/bilar/sok-bil/volvo/xc60/xcs48j/,2026-01-13
WBJ42P,674500,23530,2025,T8 Ultra Dark | Bowers & Wilkins| Glastak | Drag |,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,STRÄNGNÄS,https://www.bilia.se/bilar/sok-bil/volvo/xc60/wbj42p/,2026-01-13
ZYE52G,459500,50990,2023,Recharge T6 Core Bright,Röd,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/zye52g/,2026-01-13
RDS960,229000,114100,2017,D4 AWD Classic Momentum,Vit,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rds960/,2026-01-13
RWR03D,634000,30480,2025,T8 Ultra Black Edition,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rwr03d/,2026-01-13
RCD11M,729000,4610,2026,T8 Plus Dark Nordic Edition Luftfjädring Bowers Vent säten,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,HANINGE,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rcd11m/,2026-01-13
WEJ922,349900,110510,2019,T8 TE Inscription,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,392 hk,,,VÄSTERÅS,https://www.bilia.se/bilar/sok-bil/volvo/xc60/wej922/,2026-01-13
POA33J,429900,109150,2022,Recharge T8 AWD R-Design | B&W | Pano | Drag,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,392 hk,,,ARÖD,https://www.bilia.se/bilar/sok-bil/volvo/xc60/poa33j/,2026-01-13
