Reg. Nr,Actual Price,Predicted Price,Discount %,Discount SEK,Year,Mileage (km),HP,Engine,Fuel,Drive,Model Variant
LLX93A,279500,279500,0.0,0,2020,155110,190.0,T4,Petrol,FWD,T4 Momentum Edition
PNO192,463400,462867,-0.1,30,2023,807740,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Ultimate Dark
CHF636,314900,314500,-0.1,-774,2018,136440,190.0,D4,Diesel,AWD,D4 AWD Inscription LÄDER NAV KAMERA
RCC72G,640500,639534,-0.2,1725,2026,9690,349.0,T6,Plugin Hybrid,AWD,T6 Plus Black Nordic Edition Demobil / Värmare / Rattvärme/ Harman
FWA66B,639900,638639,-0.2,-3911,2025,24320,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Dark B/W HUD Luftfj 360Kamera
RWR03D,634000,631083,-0.5,-5250,2025,30480,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Black Edition
OTW02H,569100,566471,-0.5,406,2025,11470,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
MRA73E,559900,557151,-0.5,1573,2025,19300,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
OOD171,169900,169030,-0.5,-3408,2014,185900,163.0,D4,Diesel,AWD,D4 AWD aut Summum BE PRO 163hk Panorama Navi Drag BLIS
OFB50K,653900,650287,-0.6,457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
KKJ01X,529900,526961,-0.6,-1699,2024,29380,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Bright Edition.
MCW85K,509800,506915,-0.6,6503,2023,87950,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Ultimate Dark
ZBM688,209900,208646,-0.6,3444,2018,274510,250.0,T5,Petrol,AWD,T5 II AWD Inscription
HZP00F,309900,308014,-0.6,8938,2019,171570,303.0,T8,Plugin Hybrid,FWD,T8 TE Inscription B&O
WBF86T,486900,483906,-0.6,-3080,2024,69660,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Bright | Drag | Läder
PKN34R,559500,555928,-0.6,557,2025,20480,349.0,T6,Plugin Hybrid,AWD,T6 Plus Bright Edition |Drag |360° |Läder |Elstol |Panorama
LZU74P,469500,465688,-0.8,12944,2023,123160,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Ultimate Dark | Parkeringskamera 360 | Dragkrok | Aktiv Luftfjädrin
WPH407,359900,356885,-0.8,-10619,2018,121620,235.0,D5,Diesel,AWD,D5 AWD R-Design UB 19'
FZS56S,559500,554793,-0.8,-747,2025,21570,349.0,T6,Plugin Hybrid,AWD,T6 Plus Bright Edition
JBF85E,649000,643197,-0.9,-8519,2025,20550,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Dark - FULLUTRUSTAD!
BJA12K,349900,346569,-1.0,8721,2023,177490,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
AJZ62T,389800,385861,-1.0,-11108,2022,123430,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription Runningboards HUD Massage 360 Drag
TDR66U,344500,340814,-1.1,-2454,2022,168510,252.0,T6,Plugin Hybrid,AWD,Recharge T6 II Inscr Expression
GSW01N,569900,563661,-1.1,-713,2025,12940,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
PLU848,249500,246739,-1.1,3570,2017,119520,190.0,D4,Diesel,AWD,D4 AWD Classic Summum
MFK85N,529500,523555,-1.1,-5137,2024,32680,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition, Dragkrok Halvautomatisk, Parkeringskamera Ba"
JGP15K,529500,523431,-1.2,-5276,2024,32800,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition. Dragkrok, Panormaglastak,Parkeringkamera bak"
ZLK02S,344900,340800,-1.2,-7009,2021,90800,250.0,B5,Mild Hybrid,FWD,B5 Bensin Momentum Advanced SE HÖGSPEC
YRJ376,249800,246814,-1.2,3375,2017,119400,190.0,D4,Diesel,AWD,D4 AWD Classic Summum PRO PKT DRAG
GJY634,259000,255830,-1.2,1079,2018,213500,190.0,D4,Diesel,AWD,Inscription D4
TTW03B,569000,562015,-1.2,-4843,2025,15850,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
KCU26E,569100,561793,-1.3,-2158,2025,14780,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
LLZ74Z,529500,522362,-1.4,-6466,2024,33830,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Bright | Parkeringskamera 360 | Dragkrok | Harman Kardon |
YRN70R,569600,561670,-1.4,-2804,2025,14900,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
EGT46A,759900,749282,-1.4,-24954,2026,1100,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Bright
NUG283,239900,236412,-1.5,11437,2016,124730,220.0,D5,Diesel,AWD,D5 AWD Summum Business Edition PRO SE SPEC!
RCD72A,659900,650287,-1.5,-5543,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
SEP04N,559500,551288,-1.5,-7656,2025,26140,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition Drag 360-Kamera
RWB33M,759900,748427,-1.5,-25812,2026,1780,455.0,T8,Plugin Hybrid,AWD,T8 Plus Dark Nordic Edition FULLUTRUSTAD
ZUE067,479900,472379,-1.6,9733,2023,116630,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Ultimate Bright
GGT84F,569500,560526,-1.6,-4065,2025,16020,349.0,T6,Plugin Hybrid,AWD,T6 Plus Bright Edition |Drag |360° |Läder |Elstol |Panorama
YRP70J,574500,565266,-1.6,-3363,2025,11350,349.0,T6,Plugin Hybrid,AWD,T6 Plus Bright Edition |Drag |360° |Läder |Elstol |Panorama
PCU17F,514900,506512,-1.7,-8809,2024,48840,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Dark Edition (SELEKT)
SDW04G,569100,559706,-1.7,-4635,2025,16820,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
XEP02H,414500,407558,-1.7,6463,2020,76360,391.0,T8,Plugin Hybrid,FWD,T8 TE Inscription |Drag |360° |H&K |Läder |Navi |Elstol |Mörkton |Panorama
YNA346,219900,216192,-1.7,-6877,2017,169870,190.0,D4,Diesel,AWD,D4 AWD Classic R-Design 190hk Pano Navi BLIS Bkam
RFU76N,679900,667996,-1.8,-16259,2025,550,456.0,T8,Plugin Hybrid,AWD,
FBN86R,469000,460782,-1.8,-9322,2023,63400,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Bright
GOM29P,659900,648259,-1.8,-14309,2025,16310,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Black Edition | Pannorama | Harman Kardon |
LGL00F,529500,520091,-1.8,-8973,2024,36010,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Bright | Parkeringskamera 360 | Dragkrok | Harman Kardon |
HZG80K,355500,349120,-1.8,6253,2020,139670,391.0,T8,Plugin Hybrid,FWD,T8 TE R-Design
WRO510,349000,342696,-1.8,-14195,2021,145000,341.0,T6,Plugin Hybrid,AWD,Recharge T6 R-Design DRAG/ELSTOLAR/H&K
HZW287,294800,289416,-1.9,-5167,2019,163070,190.0,D4,Diesel,AWD,D4 AWD Inscription LÄDER DRAG B-KAM
YEN69R,549500,539444,-1.9,-7638,2025,36000,349.0,T6,Plugin Hybrid,AWD,"T6 Plus Dark Edition, Parkeringskamera Bak, HarmanKardon PremiumSound, Baklucka"
JLU60F,379900,372936,-1.9,-14989,2021,111230,341.0,T6,Plugin Hybrid,AWD,Recharge T6 R-Design T PANO DRAG H/K
UAH69X,449500,441245,-1.9,-9228,2023,82330,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Bright
HET98K,398000,390604,-1.9,10777,2021,110080,391.0,T8,Plugin Hybrid,FWD,Recharge R-Design T8
RBT20H,569500,558864,-1.9,-6026,2025,17640,349.0,T6,Plugin Hybrid,AWD,T6 Plus Bright Edition |Drag |360° |Läder |Elstol |Panorama
JTU601,395500,388080,-1.9,-10434,2020,69150,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel R-Design
CHC05E,439058,430792,-1.9,2111,2021,37510,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel Inscription
RKS090,264000,259029,-1.9,6698,2017,100060,190.0,D4,Diesel,AWD,D4 AWD Classic R-Design 2-brukare / Panorama / Backkamera
YBJ08K,559900,548728,-2.0,-7984,2025,27340,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
UCR03F,529500,518930,-2.0,-10243,2024,37120,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition. Drag Krok, Panoramaglastak"
YNP69J,524500,513910,-2.1,-10657,2024,41890,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Bright Edition. Drag. Panorama. Tonade rutor
YLF594,249900,244785,-2.1,456,2017,122640,190.0,D4,Diesel,AWD,D4 AWD Classic Summum
FUH010,299500,293356,-2.1,-5915,2018,162780,190.0,D4,Diesel,AWD,D4 AWD R-Design | Navigation | Dragkrok |
YOX177,239500,234473,-2.1,-6096,2017,100300,190.0,D4,Diesel,FWD,D4 Classic Summum
OTU60W,389800,381510,-2.2,8262,2024,165200,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Bright (Drag/360/Pano)
XXN32L,574500,562200,-2.2,-10125,2025,15670,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition
TTP05F,759900,743550,-2.2,-30630,2026,5620,455.0,T8,Plugin Hybrid,AWD,T8 Plus Black Nordic Edition FULLUTRUSTAD
PRB24S,664100,649618,-2.2,-10489,2026,580,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition
EGK07J,529500,517903,-2.2,-11362,2024,38100,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition. Dragkrok, Panoramaglastak, Parkeringkamera b"
YJR05Z,499900,488835,-2.3,-11387,2024,65160,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Bright | Pano | Läder
DKW46A,329900,322456,-2.3,-1317,2020,117920,250.0,T5,Petrol,AWD,Momentum T5 Advanced
LMC10H,384000,375238,-2.3,-13637,2022,132100,252.0,T6,Plugin Hybrid,AWD,Recharge T6 II Inscr Expression
URB29L,664000,648607,-2.4,-11564,2026,1510,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition Demobil/Drag/360kamera/Harmankardon
JAW14B,529500,517147,-2.4,-12181,2024,38820,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition.Dragkrok halvautomatisk, Parkeringskamera bak"
CBN13F,399900,390515,-2.4,-17546,2021,92500,341.0,T6,Plugin Hybrid,AWD,Recharge T6 R-Design / Teknikpaket (SELEKT)
GKK17L,389000,379706,-2.4,-17489,2021,104000,341.0,T6,Plugin Hybrid,AWD,Recharge T6 AWD Inscription//Nav.//Kamera//
OFS394,209900,204873,-2.5,-8142,2017,142950,149.0,D3,Diesel,FWD,D3 Classic Momentum
BKP09N,574500,560629,-2.5,-8944,2025,15920,349.0,T6,Plugin Hybrid,AWD,"T6 Plus Dark Edition Momsbil, Läder, Panoramaglastak"
ZSP16N,519500,506876,-2.5,-13033,2024,48500,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition, Dragkrok Halvautomatisk, Parkeringskamera Ba"
RBK33A,659000,642849,-2.5,-18866,2025,20840,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Black Edition
YWA93M,666900,650287,-2.6,-12543,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
UBS08B,569100,554839,-2.6,-13262,2025,22770,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
JJR03N,569500,555023,-2.6,-10484,2025,21350,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
BAP92X,662800,645327,-2.7,-14123,2026,4500,349.0,T6,Plugin Hybrid,AWD,T6 Plus Bright Nordic Edition - Demobil
YEN06U,579500,564005,-2.7,-9896,2025,12600,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition |Drag |360° |Läder |Elstol |Panorama
PSO180,499900,486495,-2.8,-12189,2023,37870,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Bright
HSM31G,569400,554084,-2.8,-11459,2025,22250,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
FJP18G,529500,514998,-2.8,-14494,2024,40860,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition. Drag Krok, Panoramaglastak, parkeringkamera"
ANM27R,659000,640919,-2.8,-20777,2025,22440,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Black Edition
DLP06K,529500,514903,-2.8,-14596,2024,40950,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition. Dragkrok, Parkeringkamera bak, panoramaglast"
NWP32E,529500,514819,-2.9,-14686,2024,41030,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition, Driver Awareness, Panoramaglastak, Läderkläd"
AHM14D,429000,416937,-2.9,-13607,2022,74790,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Inscription *Drag/Ljuspak/Pano*
EWP62D,569500,553415,-2.9,-12321,2025,22890,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
JAW20F,519500,504742,-2.9,-15226,2024,50490,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Bright
LOH11A,499900,485197,-3.0,-18779,2023,43330,350.0,T6,Plugin Hybrid,AWD,
NEP03N,524500,508917,-3.1,-15917,2024,46590,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition, Dragkrok Halvautomatisk, Parkeringskamera Ba"
AYM27Z,579000,561538,-3.1,-12363,2025,15030,349.0,T6,Plugin Hybrid,AWD,T6 Ultra Bright
PDS510,229500,222567,-3.1,-8511,2017,159010,190.0,D4,Diesel,AWD,D4 AWD Classic R-Design
TBK98U,539900,523431,-3.1,-15676,2024,32800,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Dark Edition.
CBN50T,519900,503840,-3.2,-16547,2024,51330,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Ultimate Dark
BJA81S,519500,503334,-3.2,-16662,2024,51800,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Bright Edition.
ERA78T,579500,561466,-3.2,-12948,2025,15100,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition | Dragkrok | 360 Kamera |
SFP04A,524500,507934,-3.3,-16938,2024,47510,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition, Dragkrok Halvautomatisk, Parkeringskamera Ba"
ZRA63S,569000,550599,-3.3,-14999,2025,25570,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
ADU28D,529500,512353,-3.3,-17310,2024,43360,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Bright
NCH42T,399900,386903,-3.4,-21214,2021,96340,341.0,T6,Plugin Hybrid,AWD,"Recharge T6 Inscription T, Taklucka, Navigation, Dragkrok"
TUU04Y,399900,386873,-3.4,-9920,2023,136090,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Bright
PDN55S,579500,560516,-3.4,-14078,2025,16030,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition | 360° | Dragkrok |
ACX81T,679500,657235,-3.4,-27666,2025,10000,456.0,T8,Plugin Hybrid,AWD,T8 Ultra Bright
LJB00T,579500,560373,-3.4,-14247,2025,16170,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
PSR33H,339000,327759,-3.4,-22292,2020,131400,250.0,B5,Mild Hybrid,AWD,Momentum B5 MH Bensin
OTT23W,574500,555335,-3.5,-15126,2025,21050,349.0,T6,Plugin Hybrid,AWD,"T6 Plus Dark Edition Momsbil, Läder, Panoramaglastak"
MMJ21X,649500,627829,-3.5,-26637,2025,34280,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Dark | B&W | Massage | Drag | Luftfjädring | HUD
NCS02R,449900,434824,-3.5,-18158,2023,89500,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Bright (SELEKT)
ZCW02X,289800,280053,-3.5,-5911,2021,220100,341.0,T6,Plugin Hybrid,AWD,Recharge T6 R-Design/Harman/VOC/Navigation
RLL954,239000,230897,-3.5,-7906,2018,235910,254.0,T5,Petrol,AWD,T5 AWD Business Advanced
PEU43D,369500,356967,-3.5,-20184,2020,96530,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Momentum SEIII
XYU31D,419900,405639,-3.5,21667,2023,175510,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Ultimate Dark
FOU151,209900,202771,-3.5,353,2016,149250,190.0,D4,Diesel,AWD,D4 AWD aut Ocean Race BE 190hk Drag P-värm Backkamera BLIS
LEN37J,519900,502171,-3.5,-20913,2024,53970,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Dark Edition.
ATK843,379900,366662,-3.6,-6018,2023,156460,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Dark
DCA44D,399900,385953,-3.6,-22171,2021,97350,341.0,T6,Plugin Hybrid,AWD,"Recharge T6 Inscription, Teknikpaket, Ljuspaket, Dynamisk LED"
SDT67B,569500,549490,-3.6,-16737,2025,26620,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition | 360° | Dragkrok |
PBT44B,404500,390105,-3.7,-14457,2020,65800,197.0,B4,Mild Hybrid,AWD,"B4 AWD Diesel Inscription, Parkeringskamera bak, Navigation"
WAA51S,519500,500994,-3.7,-17268,2023,24110,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Dark
HRK78E,419100,404119,-3.7,-12436,2023,118220,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Bright
YLR212,339900,327571,-3.8,-19640,2019,150560,235.0,D5,Diesel,AWD,D5 AWD R-Design TEKNIKPKT PRO DRAG LOUNGEPKT
JBF85R,579500,558452,-3.8,-16509,2025,18040,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition | 360° | Dragkrok |
UDN90T,579500,558400,-3.8,-16570,2025,18090,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition | Dragkrok | 360° | Läder |
TLP52A,579500,558277,-3.8,-16714,2025,18210,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
JUS70G,479500,461731,-3.8,-23013,2022,46100,341.0,T6,Plugin Hybrid,AWD,Recharge T6 R-Design
CNR23C,569500,548293,-3.9,-18066,2025,27750,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition |Drag |360° |Läder |Elstol |Panorama
GDN30K,579500,557843,-3.9,-17221,2025,18630,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
DOR02X,579500,557802,-3.9,-17269,2025,18670,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
LRM37X,589000,566758,-3.9,-21641,2024,65330,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Ultimate Dark
MEM02X,514900,495212,-4.0,-20186,2024,59310,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Dark Edition.
OAN23F,569900,547815,-4.0,-18994,2025,28200,349.0,T6,Plugin Hybrid,AWD,"XC60 Plus, T6 AWD Laddhybrid, El-/Bensin, Bright"
BZL93D,559500,537545,-4.1,-19639,2025,37750,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
RJA455,414900,398550,-4.1,-22593,2022,109710,341.0,T6,Plugin Hybrid,AWD,Recharge T6 R-Design HÖGSPEC
NAT825,269900,259244,-4.1,-13859,2018,192870,250.0,T5,Petrol,AWD,T5 II AWD Inscription
KOB09U,339500,325887,-4.2,-24634,2020,133610,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Mom Adv SEIII | Dragkrok | 360 kamera | Navigation |
YTN674,344500,330641,-4.2,-6421,2019,51340,250.0,T5,Petrol,FWD,T5 Momentum Advanced SE
ACT82Z,559000,536129,-4.3,-20619,2025,39050,349.0,T6,Plugin Hybrid,AWD,T6 Ultra Dark
TAR987,499900,479412,-4.3,-20246,2023,45010,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Bright
FXL46D,619900,594417,-4.3,-25774,2024,42090,455.0,T8,Plugin Hybrid,AWD,"Recharge T8 II Ultimate Black Edt, Dragkrok, on call, Taklucka, Navigation"
YHB791,239900,230023,-4.3,-13071,2017,180120,220.0,D5,Diesel,AWD,D5 AWD Classic R-Design
CCK50G,519500,498055,-4.3,-21973,2024,56690,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition, Dragkrok Halvautomatisk, Parkeringskamera Ba"
RBD12C,519500,497968,-4.3,-22059,2024,56770,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition, Dragkrok Halvautomatisk, Parkeringskamera Ba"
OPU25E,499000,478127,-4.4,-11581,2023,29850,250.0,B5,Mild Hybrid,AWD,Plus B5 Bensin
BJM12W,569500,545588,-4.4,-21037,2025,30290,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
KGS80K,459900,440476,-4.4,-16671,2024,109970,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Dark Edition.
HOO821,339900,324648,-4.7,-17908,2022,136010,250.0,B5,Mild Hybrid,FWD,B5 Bensin Momentum Advanced Edt II | Drag |
UJA38F,489000,466869,-4.7,-20800,2024,85120,349.0,T6,Plugin Hybrid,AWD,Recharge T6 AWD Plus Dark/Drag/360-kamera/
AFS27T,469000,447730,-4.8,-22440,2023,76070,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Bright
OEM60G,669000,638578,-4.8,-33071,2025,24370,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Black Luftfjd B&W Drag
BZB350,199000,189836,-4.8,-7078,2016,173940,190.0,D4,Diesel,AWD,D4 AWD Ocean Race Business E PRO/Läder/Värmare/Panorama
